16-7-21 下午1:57
项目统计

     	    片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	101133	421051	3605151	3954532	  2065	
剩余：  	 83148	379180	3333065	3660972	  2065	
独特：  	 47359	300630	2532248	2817008	  2064	
剩余独特：	 47010	298063	2515315	2797722	  2064	


单文件统计：

文件名                                                                     	 总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
documentation/cipher/desfingerprint.html                                	  34	  25	  22	    22	 167	 155	 152	   152	    1215	     1142	     1090	       1090	    1347	     1271	     1219	       1219	
documentation/cipher/filefingerprint.html                               	  50	  43	  36	    36	 227	 217	 203	   203	    1733	     1674	     1540	       1540	    1924	     1862	     1721	       1721	
documentation/cipher/fingerprint.html                                   	  54	  46	  15	    15	 227	 216	  84	    84	    1959	     1893	      835	        835	    2154	     2085	      919	        919	
documentation/cipher/finishcipher.html                                  	  24	  15	   8	     8	  71	  59	  52	    52	     606	      535	      422	        422	     656	      582	      469	        469	
documentation/cipher/finishfingerprint.html                             	  28	  20	  10	    10	  97	  86	  72	    72	     836	      770	      590	        590	     911	      842	      656	        656	
documentation/cipher/index.html                                         	  61	  55	  30	    30	 118	 108	  83	    83	    1596	     1534	     1044	       1044	    1654	     1587	     1097	       1097	
documentation/cipher/isfingerprint.html                                 	  23	  15	   8	     8	  66	  55	  38	    38	     574	      508	      352	        352	     621	      552	      386	        386	
documentation/cipher/opencryptrandom.html                               	  33	  24	  12	    12	 134	 122	 112	   112	    1084	     1013	      828	        828	    1191	     1117	      932	        932	
documentation/cipher/startaescipher.html                                	  55	  46	  18	    18	 282	 270	 146	   146	    1971	     1901	     1076	       1076	    2197	     2124	     1205	       1205	
documentation/cipher/startfingerprint.html                              	  65	  56	  18	    18	 329	 317	 170	   170	    2902	     2829	     1549	       1549	    3234	     3158	     1761	       1761	
documentation/cipher/stringfingerprint.html                             	  54	  46	  13	    13	 227	 216	  69	    69	    1868	     1802	      645	        645	    2063	     1994	      714	        714	
documentation/cipher/usecrc32fingerprint.html                           	  29	  18	  11	    11	 106	  92	  85	    85	     947	      864	      719	        719	    1028	      942	      797	        797	
documentation/cipher/usemd5fingerprint.html                             	  35	  24	  13	    13	 164	 150	 138	   138	    1321	     1238	      961	        961	    1450	     1364	     1083	       1083	
documentation/cipher/usesha1fingerprint.html                            	  38	  27	  15	    15	 171	 157	 149	   149	    1372	     1289	     1098	       1098	    1507	     1421	     1230	       1230	
documentation/cipher/usesha2fingerprint.html                            	  32	  21	  14	    14	 168	 154	 147	   147	    1329	     1246	     1098	       1098	    1453	     1367	     1219	       1219	
