alphanumeric sort	按字母数字顺序排列
paragraph formatting	段落格式
CCD	CCD
charge-coupled device	电荷耦合设备
target identifier	目标识别器
RDF Site Summary	RDF 站点摘要
Really Simple Syndication	真正简单的整合
Rich Site Summary	极具特色的网站摘要
RSS	RSS
custom client control	自定义客户端控件
MUI Pack	MUI 包
Multilingual User Interface Pack	多语言用户界面包
WMI Numeric Event Provider	WMI 数字事件提供者
distinguished folder	可分辨文件夹
mirror server	镜像服务器
plan cache	计划缓存
unbound report	未绑定报表
subject line	主题行
f-number	F 值
focal ratio	焦比
clipboard	剪贴板
RDBMS	RDBMS
relational database management system	关系数据库管理系统
client logoff Web page	客户端注销网页
service level	服务级别
JScript	JScript
keypad	小键盘
numeric keypad	数字键盘
information disclosure	信息泄漏
PDF	PDF
dial plan	拨号计划
picture placeholder	图片框
network database	网络数据库
property fields	属性字段
Crude Humor	粗暴幽默
sharing invitation	共享邀请
invitation	邀请
transmission	传输
ALU	ALU
arithmetic logic unit	算术逻辑单元
invoke	调用
Pre-Boot EXecution Environment	预启动执行环境
PXE	PXE
ROM emulator	ROM 仿真程序
ROM simulator	ROM 仿真程序
column	列
real time	实时
splash screen	初始屏幕
Hardware Functionality Scan	硬件功能性扫描
HFS	HFS
preinstallation	预安装
PivotTable report	数据透视表
mandatory parameter	强制参数
required parameter	必需的参数
property set	属性集
Service Quality Metrics	服务质量指标
SQM	SQM
agent character	向导角色
VPN client	VPN 客户
anonymous FTP	匿名 FTP
Component Platform Interface	组件平台接口
CPI	CPI
channel	通道
credit limit check	信用额度检查
code complete	代码完成
differentiated services	差分服务
DiffServ	DiffServ
CPU cycle	CPU 周期
clock tick	时钟计时周期
mirrored media set	镜像媒体集
Associate to Contact	关联联系人
active statement	活动语句
Notes E-mailed To Me	发给我的电子邮件笔记
Server Gated Cryptography	服务器网关加密
SGC	SGC
flagged	已标志的
installed language	默认语言
high-low lines	高低点连线
data collector	数据收集器
drawing object	图形对象
Text	文本
status message	状态消息
format	格式化
pyramid diagram	棱锥图
Status Message Viewer	状态消息查看器
gloss optimizer	光泽优化器
unenlist	取消登记
status summarizer	状态摘要生成器
signed integer	带符号整数
polling query	轮询查询
handout	讲义
shared user account	共享的用户帐户
available	有空
frame	帧
Snapshot slide	快照幻灯片
locked user profile	锁定的用户配置文件
File	文件
Microsoft Points	Microsoft Points
self-modifying code	自修改代码
wireless network	无线网络
handle	句柄
child category	子类别
key repeat rate	按键重复速率
repeat rate	重复速率
Vector Markup Language	矢量标记语言
VML	VML
streaming buffer	流式缓冲区
Sex education	性教育
Indie	独立
note-taking tool	笔记记录工具
trail byte	结尾字节
compiler option	编译器选项
tap	点击
ACK	ACK
21 CFR Part 11	21 CFR Part 11
ACID	ACID
"atomicity, consistency, isolation, durability"	"原子性, 一致性, 隔离性, 持久性"
certification hierarchy	证书层次结构
name release	名称释放
user	用户
collaborative slide	协作幻灯片
application isolation	应用程序隔离
unit	单位
Advanced Program-to-Program Communication File Transfer Protocol	高级程序间通信文件传输协议
AFTP	AFTP
broadband over power lines	电力宽带
BPL	BPL
Network Load Balancing	网络负载平衡
NLB	NLB
Slow Rock	慢摇滚
syntax	语法
confidence interval	置信区间
file share witness	文件共享见证
active partition	活动分区
sequenced collection	顺序集合
IDE	IDE
integrated device electronics	集成驱动电子设备
integrated drive electronics	集成驱动电子设备
Meet Now	立即开会
volume bitmap	卷位图
fax	传真
credit	贷记
polymorphism	多形性
service agreement line	服务协议行
overflow text	溢出文本
overflow	溢出
notifications	通知
Integrated Services Digital Network	综合业务数字网
ISDN	ISDN
Select Annotations tool	选择注释工具
align	对齐
fraction	分数
multiplex	多路复用
external user	外部用户
Invite	邀请
format bar	格式栏
composite	复合
server-based web site	基于服务器的网站
default hyperlink	默认超链接
Activity Propagation	活动传播
plotter font	绘图字体
application	应用程序
backdoor	后门
GUID partition table	GUID 分区表
GPT	GPT
status system	状态系统
metadata	元数据
relational expression	关系表达式
BAM Event Bus MMC	BAM 事件总线 MMC
one-to-many relationship	一对多关系
Sign in as	登录为
game	游戏
virtual link	虚拟链路
multicurrency	多货币
log chain	日志链
direct memory access	直接内存访问
DMA	DMA
positioned update	定位更新
keyset-driven cursor	由键集驱动的游标
familiar Office program	常用 Office 系列产品
GSM	GSM
datareader	DataReader
multiserver administration	多服务器管理
HDCD Low Level Extension	HDCD 低级扩展
disclaimer	免责
TV-G	TV-G
General Audience	普通受众
reference data cache	引用数据缓存
multiple bit rate	多比特率
MBR	MBR
Phone Controls	电话控件
scalar data type	标量数据类型
My Home page	我的主页
partial backup	部分备份
dynamic report	动态报表
audit mode	审核模式
net change master scheduling	净需求变化主计划编制
decompress	解压缩
BizTalk Explorer	BizTalk 资源管理器
left align	左对齐
pure code	纯代码
invite	邀请
isochronous	常时等量
snapline	对齐线
master	主控形状
media family	媒体簇
ENTER key	ENTER 键
partial database restore	数据库部分还原
external item	外部项
snapshot replication	快照复制
possible owner	可能的所有者
authoring pane	创作窗格
passive client	被动客户端
code page	代码页
signature file	签名文件
hard link	硬链接
fraudulent	欺骗性的
working copy	工作副本
Unique Program Identifier	唯一程序标识符
UPID	UPID
Alert view	警报视图
bit mask	位掩码
bitmask	位掩码
No Control	无控制
Activation Key	激活密钥
friendly	友好地
Single data type	简单数据类型
Multipath I/O	多路径 I/O
MPIO	MPIO
string delimiter	字符串分隔符
prepaid model	预付模式
cycle start date	周期开始日期
self-test	自测试
task pane	任务窗格
hold status	受限状态
source document	源文档
orientation	打印方向
pipeline component	管道组件
Purble Pairs	Purble Pairs
progress indicator	进度指示器
principal server	主体服务器
remote data	远程数据
redo phase	重做阶段
redo	恢复
child object	子对象
Title area	标题区域
literal	串
cash flow forecast	现金流量预测
worker thread	工作线程
snip	截图
frames page	框架网页
frameset	框架集
consumption statement	消耗报表
Send an Instant Message...	发送即时消息
ABC classification	ABC 分类
control skin	控件外观
configuration group	配置组
Windows Easy Transfer	Windows 轻松传送
summary	摘要
hardware branch	硬件项
Virtual Machine Manager Self-Service Portal	Virtual Machine Manager 自助服务门户
destination model	目标模型
non-transacted pipeline	非事务处理流水线
MIS	MIS
action account	操作帐户
Control call forwarding from Communicator	从 Communicator 控制呼叫转移
remotely administered server	远程管理服务器
headless server	无外设服务器
change type attribute	更改类型属性
commodity	商品
board	插件板；电路板
axis	轴
cluster network address	群集网络地址
in-schema property	架构内属性
ID selector	ID 选择器
type	铅字
data definition language	数据定义语言
DDL	DDL
data description language	数据描述语言
plumb	联结
Quick Create	快速创建
kernel time	内核时间
Load Test Editor	负载测试编辑器
descendant	后代
identity column	标识列
pallet	托盘
Rotate 180	旋转 180
verifier provider	验证提供程序
letter quality	信件质量
Network Awareness	网络感知
network location awareness service	网络位置感知服务
NLA2	NLA2
multilayer	多层
latency	延迟
light	光
default data file	默认数据文件
layered driver	分层驱动程序
Darkwave	黑潮音乐
text trainer	文本训练程序
discretized column	离散化列
proximity search	邻近搜索
net amount	净额
embedded file	嵌入的文件
class meta-data	类元数据
Equation Builder	方程式生成器
Microsoft Support Diagnostic Tool	Microsoft 支持诊断工具
MSDT	MSDT
data generation plan	数据生成计划
virus signature	病毒特征
Business Intelligence Development Studio	Business Intelligence Development Studio
fee transaction	费用交易记录
Cached Exchange Mode	缓存 Exchange 模式
relative reference	相对引用
on-account statement	分期付款报表
script anchor	脚本定位标记
assistant shape	助手形状
security filtering	安全筛选
class diagram	类图
thaw	解冻
document window	文档窗口
sale	销售
released order	下达单
exploit	攻击
shallow copy	浅表复制
scrolling speed	滚动速度
authorized distributor	授权分销商
Public	公开
External Contacts	外部联系人
store-and-forward replication	存储转发复制
Fantasy Violence	幻想暴力
column ordinal	列序号
voice call	语音呼叫
sales territory	销售区域
multiple masters	多母板
life cycle	生命周期
collection	收藏
SOAP header	SOAP 标头
Start a Video Conversation...	启动视频对话
recording	录制
color palette	调色板
palette	调色板
recognition	识别
encrypt	加密
message digest	哈希
hash code	哈希代码
Group Policy template	组策略模板
system media pool	系统媒体池
virtual floppy disk	虚拟软盘
CLM reports	CLM 报表
AutoFilter	自动筛选
variable	变量
thumb	Thumb 控件
thumb control	Thumb 控件
capacity	容量
isolated storage	独立存储
Now Playing	正在播放
escalation	升级
rounding policy	舍入原则
scan	扫描
voucher	凭证
phantom bill of material	虚拟物料清单
finger	获取
expense	费用
form data file	表单数据文件
swatch	样本
failover time	故障转移时间
volume	音量
build directory	生成目录
portable computer	便携计算机
rule collection	规则集合
Run As profile	作为配置文件运行
filter link	筛选器链接
parallel port	并口
ASP.NET	ASP.NET
inverse telecine	反转电视电影
"Fade, Wipe"	淡化，擦除
color printer	彩色打印机
card	卡
performance test	性能测试
Privacy Policy	隐私权政策
user-defined dimension	用户定义维度
accelerator editor	快捷键编辑器
very large database	非常大的数据库
VLDB	VLDB
numeric expression	数值表达式
free space	可用空间
program	程序
